movieId,movieLink,movieName,movieImage,movieEpisodeTotal,movieEpisodeCurrent
74,https://phimmoichilla.net/info/ngay-dong-nam-ay-minh-chia-xa-pm74,Ngày Đông Năm Ấy Mình Chia Xa,https://i0.wp.com/img.phimmoichilla.net/images/film/jp-tposter-kfk-201810202.jpg,1,HD VietSub
75,https://phimmoichilla.net/info/bo-dau-nho-con-dau-to-thien-tai-xuat-hien-pm75,Bố Đầu Nhỏ Con Đầu To: Thiên Tài Xuất Hiện,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810842.jpg,1,HD Thuyết Minh
76,https://phimmoichilla.net/info/nu-chien-binh-molly-pm76,Nữ Chiến Binh Molly,https://i0.wp.com/img.phimmoichilla.net/images/film/poster-201810978.jpg,1,HD VietSub - Thuyết Minh
77,https://phimmoichilla.net/info/co-gai-bao-thu-pm77,Cô Gái Báo Thù,https://i0.wp.com/img.phimmoichilla.net/images/film/1-201810732.jpg,1,HD VietSub
78,https://phimmoichilla.net/info/hoi-sieu-quai-vat-giai-cuu-halloween-pm78,Hội Siêu Quái Vật: Giải Cứu Halloween,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810812.jpg,1,HD Lồng Tiếng
79,https://phimmoichilla.net/info/su-thanh-trung-4-cuoc-thanh-trung-dau-tien-pm79,Sự Thanh Trừng 4: Cuộc Thanh Trừng Đầu Tiên,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bymvjmwjhmtytmzuxmc00oddhltk3yzmtzdfhnguyogfhyty0xkeyxkfqcgdeqxvyndizmzcwnjc-201809849.v1sy1000cr006661000al,1,HD VietSub - Thuyết Minh
80,https://phimmoichilla.net/info/mamma-mia-yeu-lan-nua-pm80,Mamma Mia! Yêu Lần Nữa,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201807127.jpg,1,HD VietSub
81,https://phimmoichilla.net/info/tan-o-long-vien-tieu-ngao-giang-ho-pm81,Tân Ô Long Viên: Tiếu Ngạo Giang Hồ,https://i0.wp.com/img.phimmoichilla.net/images/film/images-201810198.jpg,1,HD Thuyết Minh
82,https://phimmoichilla.net/info/hoa-cua-quy-pm82,Hoa Của Quỷ,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201807864.jpg,1,HD VietSub
83,https://phimmoichilla.net/info/bay-thoi-gian-pm83,Bẫy Thời Gian,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5byjmyyzezyjmtywi1ny00odm5ltgzmzatotbhzjlmy2fhodzkxkeyxkfqcgdeqxvymja1njczmde-201809125.v1sy1000cr006791000al,1,HD VietSub + Thuyết Minh
84,https://phimmoichilla.net/info/hien-linh-pm84,Hiển Linh,https://i0.wp.com/img.phimmoichilla.net/images/film/poster-201810988.jpg,1,HD VietSub
85,https://phimmoichilla.net/info/cong-pha-chau-au-pm85,Công Phá Châu Âu,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201810657.jpg,1,HD VietSub + Thuyết Minh
86,https://phimmoichilla.net/info/nam-han-son-thanh-pm86,Nam Hán Sơn Thành,https://i0.wp.com/img.phimmoichilla.net/images/film/ffff-201809434.jpg,1,HD VietSub + Thuyết Minh
87,https://phimmoichilla.net/info/ban-cung-phong-vuot-thoi-gian-pm87,Bạn Cùng Phòng Vượt Thời Gian,https://i0.wp.com/img.phimmoichilla.net/images/film/p15462108pv8aa-201809805.jpg,1,HD VietSub - Thuyết Minh
88,https://phimmoichilla.net/info/chuyen-di-cua-nhung-co-gai-pm88,Chuyến Đi Của Những Cô Gái,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bmjmwntezoduwmv5bml5banbnxkftztgwnje5nja5mji-201810455.v1sy1000cr006311000al,1,HD VietSub
89,https://phimmoichilla.net/info/nguoi-kien-va-chien-binh-ong-pm89,Người Kiến Và Chiến Binh Ong,https://i0.wp.com/img.phimmoichilla.net/images/film/ant-man-and-the-wasp-1-201709326.jpg,1,HD VietSub Thuyết Minh
90,https://phimmoichilla.net/info/giua-chin-tang-may-pm90,Giữa Chín Tầng Mây,https://i0.wp.com/img.phimmoichilla.net/images/film/poster-201810637.jpg,1,HD VietSub
91,https://phimmoichilla.net/info/huyen-thoai-ngoi-sao-nhac-rock-pm91,Huyền Thoại Ngôi Sao Nhạc Rock,https://i0.wp.com/img.phimmoichilla.net/images/film/110-201811830.png,1,HD Trailer
92,https://phimmoichilla.net/info/phi-vu-tien-gia-pm92,Phi Vụ Tiền Giả,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201811770.jpg,1,HD Trailer
93,https://phimmoichilla.net/info/da-quy-pm93,Dạ Quỷ,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201811120.jpg,1,HD VietSub
94,https://phimmoichilla.net/info/cau-chuyen-luc-nua-dem-2-halloween-quy-am-pm94,Câu Chuyện Lúc Nửa Đêm 2: Halloween Quỷ Ám,https://i0.wp.com/img.phimmoichilla.net/images/film/16-1pf21p155j1-201811200.jpg,1,HD Trailer
95,https://phimmoichilla.net/info/kep-hat-gie-va-bon-vuong-quoc-pm95,Kẹp Hạt Giẻ Và Bốn Vương Quốc,https://i0.wp.com/img.phimmoichilla.net/images/film/110-201811220.png,1,HD Trailer
96,https://phimmoichilla.net/info/cuong-tin-pm96,Cuồng Tín,https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bmjk1mjhmzwqtnzu3oc00nde4lthlodqtntdhzgm4m2e3mwzkxkeyxkfqcgdeqxvymtmxodk2otu-201809910.v1,1,HD VietSub - Thuyết Minh
97,https://phimmoichilla.net/info/mau-dua-anh-toi-di-gium-cai-ban-dien-anh-pm97,Mau Đưa Anh Tôi Đi Giùm Cái (Bản Điện Ảnh),https://i0.wp.com/img.phimmoichilla.net/images/film/mv5bnjbmndgxmmetntfkoc00nmmwlwezogetngq1mwnjmwu4zmqwxkeyxkfqcgdeqxvyota3mde2odm-201810489.v1sy1000cr006861000al,1,HD VietSub
98,https://phimmoichilla.net/info/nhung-co-nang-hac-am-pm98,Những Cô Nàng Hắc Ám,https://i0.wp.com/img.phimmoichilla.net/images/film/1-201810764.jpg,1,HD VietSub
